จังหวัด,เขต,ผู้มีสิทธิเลือกตั้ง,ผู้ใช้สิทธิเลือกตั้ง,ร้อยละ,บัตรเสีย,ร้อยละ2, บัตรไม่เลือกผู้สมัครผู้ใด,ร้อยละ3
ลำปาง,1,148928,120565,80.95522669,4437,3.680172521,4183,3.469497781
ลำปาง,2,153670,119599,77.82846359,7339,6.136338933,2638,2.205704061
ลำปาง,3,149147,120834,81.01671505,5579,4.617077975,3944,3.263981992
ลำปาง,4,160855,122131,75.92614466,6763,5.537496622,2341,1.916794262
ลำพูน,1,168981,146167,86.49907386,5245,3.588361258,3353,2.293951439
ลำพูน,2,164411,141388,85.99667905,7226,5.110759046,2787,1.971171528
เลย,1,124668,96500,77.40558925,3774,3.910880829,2766,2.866321244
เลย,2,132119,93344,70.65145816,4609,4.937649983,1790,1.917637984
เลย,3,124801,98765,79.13798768,3944,3.993317471,1631,1.651394725
เลย,4,123302,93584,75.89820116,4098,4.378953667,1775,1.896691742
ศรีสะเกษ,1,132184,100569,76.08258186,3576,3.555767682,1425,1.416937625
ศรีสะเกษ,2,127574,87917,68.91451236,4045,4.600930423,1715,1.950703504
ศรีสะเกษ,3,123066,89855,73.01366746,4576,5.092649268,916,1.019420177
ศรีสะเกษ,4,121071,86615,71.54066622,4475,5.166541592,950,1.096807712
ศรีสะเกษ,5,125809,87828,69.81058589,5343,6.08348135,1052,1.197795692
ศรีสะเกษ,6,127619,89674,70.26696652,5393,6.014006289,1175,1.31030176
ศรีสะเกษ,7,127209,87119,68.48493424,4959,5.692214098,1300,1.492211802
ศรีสะเกษ,8,132733,97459,73.42484537,3846,3.946274844,753,0.772632594
ศรีสะเกษ,9,139460,98658,70.74286534,4634,4.697034199,1206,1.222404671
สกลนคร,1,132357,96244,72.71545895,2742,2.849008769,2820,2.930052783
สกลนคร,2,130255,90918,69.80000768,2470,2.71673376,1369,1.505752436
สกลนคร,3,132724,92272,69.52171423,2879,3.120123114,1081,1.171536327
สกลนคร,4,127317,88340,69.38586363,2434,2.755263754,1749,1.979850577
สกลนคร,5,128271,85443,66.61131511,2864,3.35194223,877,1.026415271
สกลนคร,6,128009,83631,65.33212508,2394,2.862574883,1094,1.308127369
